place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,cuisine_detected_ext,cuisine_source_ext,brand_name,brand_category,brand_source
ChIJxyLwkRHZdUgRUo3ANVfCTg8,The Jovial Sailor Ripley,"bar,establishment,food,point_of_interest,restaurant",4.3,1523,2,51.2894022,-0.5021131000000001,"Portsmouth Road Ripley, Woking",OPERATIONAL,Pub in a historic building with garden seating offering a classic & creative food menu & drinks.,http://www.baronspubs.com/jovialsailor/,+44 1483 224360,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJZa8q9BrZdUgRffRW4ycIR-U,Shell,"cafe,convenience_store,establishment,food,gas_station,point_of_interest,restaurant,store",3.2,48,2,51.281842,-0.513326,"Portsmouth Rd, Send, Woking",OPERATIONAL,,https://find.shell.com/gb/fuel/10019487-shell-little-waitrose-burnt-common/en_GB,+44 1483 223469,unknown,,en,1.0,5,"{""en"": 5}",european,extended_text,,,
ChIJywrlUoDRdUgR8-Z61BloOfg,Pig Out Pizza Limited,"establishment,food,point_of_interest,restaurant",5,1,,51.2901661,-0.502703,"Ripley Nurseries, Ripple nurseries, Portsmouth Rd, Ripley, Woking",OPERATIONAL,,,+44 7867 867415,unknown,,und,1.0,1,"{""und"": 1}",italian,extended_text,,,
ChIJ16mpRD3ZdUgRIupSNHUOsds,M&S Food To Go,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",2.6,55,2,51.2929471,-0.4899991,"Ripley By-Pass Wisley, A3,10, Woking",OPERATIONAL,,https://www.marksandspencer.com/stores/guildford-wisley-north-bp-0083?extid=local,+44 1483 211062,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJAcqe0zzZdUgR3pDe79_xkh0,M&S Food To Go,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",2.9,96,2,51.2936083,-0.4876465,"Ripley By-Pass A3, Wisley South Guildford BP, South Street 43, Woking",OPERATIONAL,,https://www.marksandspencer.com/stores/guildford-wisley-south-bp-0156?extid=local,+44 333 014 8555,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJ8c-c0zzZdUgRA867pS2LwkQ,Starbucks Coffee,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",3.8,1150,2,51.29259,-0.4904899999999999,"A3, Wisley A3 Services North, Ripley, Woking",OPERATIONAL,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://www.starbucks.co.uk/store-locator/28689,+44 1483 225513,unknown,,en,1.0,5,"{""en"": 5}",cafe,brand,starbucks,coffee,name
ChIJKXprQB_ZdUgRzr9vxNhxOPk,Pinnock's,"cafe,establishment,food,point_of_interest,restaurant,store",4.7,817,2,51.2999141,-0.4931878,"Pinnocks, High St, Ripley, Woking",OPERATIONAL,,http://pinnocks.coffee/,+44 1483 222419,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJMy2jyix62EcRiVfD8YoT_a8,Toby Cottage Restaurant,"bar,establishment,food,point_of_interest,restaurant",4.7,405,,51.298405,-0.495565,"High St, Ripley, Woking",OPERATIONAL,Nostalgic aura to one-time cottage shop with English and continental menus and Toby Jug decoration.,https://tobycottage.co.uk/,+44 1483 224225,unknown,,en,1.0,5,"{""en"": 5}",european,extended_text,,,
ChIJfwthMSPZdUgRqQGSSgZzcxQ,Starbucks Wisley A3 Southbound,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",3.8,813,2,51.29338000000001,-0.4879600000000001,"Ripley By-Pass, Ripley, Woking",OPERATIONAL,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://www.starbucks.co.uk/store-locator/52098,+44 1483 222453,unknown,,en,1.0,5,"{""en"": 5}",cafe,brand,starbucks,coffee,name
ChIJKXprQB_ZdUgR3g3-wX6snrk,The Ripley Anchor,"bar,establishment,food,point_of_interest,restaurant",4.5,428,3,51.29955289999999,-0.4932074,"High St, Ripley, Woking",OPERATIONAL,"Homely pub with 16th-century roots offering real ales, plus a dining area for creative British fare.",http://www.ripleyanchor.co.uk/,+44 1483 211866,unknown,,en,1.0,5,"{""en"": 5}",french,extended_text,,,
ChIJPRWKaR_ZdUgRY8yX50Wt9iQ,Sea Salt,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.5,238,1,51.3000209,-0.4925173,"8 High St, Ripley, Woking",OPERATIONAL,,,+44 1483 479334,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJyYQug_jmh0gRAGrOtua1NM8,The Drift Golf Club,"establishment,food,health,point_of_interest,restaurant,store",4.5,247,,51.2887226,-0.4298545,"The Drift, East Horsley, Leatherhead",OPERATIONAL,,http://www.driftgolfclub.com/,+44 1483 284641,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ487yJ5vedUgRYzN61ITciw8,La Meridiana,"establishment,food,point_of_interest,restaurant",4.5,448,3,51.2781058,-0.4359485,"Ockham Rd S, East Horsley, Leatherhead",OPERATIONAL,"High-end Italian dining in relaxed, restaurant with pastel stucco walls and Tuscan landscape murals.",http://www.lameridiana.co.uk/,+44 1483 284343,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ3QCleMcLdkgRfVt3ykCVuwQ,Orindi’s Deli (Cafe and Catering),"cafe,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",4.8,132,,51.2781016,-0.4350548,"1 Cobham Way, East Horsley, Leatherhead",OPERATIONAL,,http://www.orindideli.com/,+44 20 8541 4606,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ_Wjwn5HedUgRatd6amP7KUc,Merry-House ChineseTakeaway Surrey | Malaysian | Fish & Chips,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.3,137,2,51.2768097,-0.4352304,"Shop 3, Parade Court, Ockham Rd S, East Horsley, Leatherhead",OPERATIONAL,,https://www.merry-house.co.uk/menu-printed-version/,+44 1483 283790,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJ7XILjODfdUgRngSGBjY9USw,Tara Bar and Restaurant,"establishment,food,point_of_interest,restaurant",4.5,45,,51.27736950000001,-0.4355377,"8 Station Parade, Ockham Rd S, East Horsley, Leatherhead",OPERATIONAL,,https://tarabarandrestaurant.wixsite.com/easthorsley,+44 7473 561076,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJC4n4m5HedUgR1GYvFAbqT-U,Kirthon,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.5,111,2,51.277106,-0.434826,"Station Parade, Ockham Rd S, East Horsley, Leatherhead",OPERATIONAL,,http://www.kirthon.co.uk/,+44 1483 285588,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJL349MBfedUgRBxmaTMSD6Ko,Ye Olde Windsor Castle,"bar,establishment,food,point_of_interest,restaurant",4.2,711,2,51.2788325,-0.3876148,"25 Little Bookham St, Great Bookham, Leatherhead",OPERATIONAL,Pub with a menu of traditional British dishes & a family-friendly vibe.,https://www.chefandbrewer.com/pubs/surrey/ye-olde-windsor-castle?utm_source=g_places&utm_medium=locations&utm_campaign=CB_pubpage,+44 1372 452226,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJQ-YufKTgdUgRnrS2ZgsiEJY,Happy Diner,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.4,151,2,51.2780579,-0.3645935,"Leatherhead Rd, Great Bookham, Surrey",OPERATIONAL,,,+44 1372 458330,unknown,,en,1.0,5,"{""en"": 5}",chinese,extended_text,,,
ChIJl6DjqaDgdUgROQDmBwAA-ic,The Royal Oak,"bar,establishment,food,park,point_of_interest,restaurant",4.3,148,2,51.278631,-0.3737791,"16 High St, Great Bookham, Leatherhead",OPERATIONAL,,http://royaloakbookham.com/,+44 1372 453383,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJ3bEGRB7edUgRk8eW8MTyBok,Great Bookham Tandoori Restaurant,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.3,201,2,51.2799272,-0.3755968,"41 Church Rd, Great Bookham, Leatherhead",OPERATIONAL,,https://www.greatbookhamtandoori.co.uk/,+44 1372 459136,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJe1v3HB7edUgRt4CuCOD8v8o,"The Old Crown, A Heartwood Inn","bar,establishment,food,point_of_interest,restaurant",4.2,212,2,51.27916800000001,-0.37383,"Old Crown Inn, 1 High St, Great Bookham, Leatherhead",OPERATIONAL,,https://oldcrowngreatbookham.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,+44 1372 303102,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJi8U8Rx7edUgRiblJjSj5k_o,Carolina’s Coffee Shop,"cafe,establishment,food,point_of_interest,restaurant,store",4.7,180,2,51.2799972,-0.3752736,"24 Church Rd, Great Bookham, Leatherhead",OPERATIONAL,,https://www.instagram.com/carolinasbookham?igsh=NG43OW5uY3g2ODdi,+44 1372 650941,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJszvxQx7edUgRZzMHxRTN3IM,Bookham Charcoal Grill,"establishment,food,point_of_interest,restaurant",4.6,228,1,51.2798959,-0.375553,"37 Church Rd, Great Bookham, Leatherhead",OPERATIONAL,,http://www.bookhamcharcoalgrill.co.uk/,+44 1372 450717,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJYWkFQB7edUgRTOdIAMKNGS8,Del Fuoco Pizzeria,"establishment,food,meal_delivery,point_of_interest,restaurant",4.1,134,,51.2796391,-0.3751733,"17 Church Rd, Great Bookham, Leatherhead",OPERATIONAL,,http://www.delfuoco.co.uk/,+44 1372 877490,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJx1gLbGDfdUgR5_O4WgwCsfU,Cafe De La Poste,"cafe,establishment,food,point_of_interest,restaurant",4,12,,51.27960220000001,-0.375033,"15 Church Rd, Great Bookham, Leatherhead",OPERATIONAL,,https://cafedelapostetakeaway.co.uk/order-now,+44 1372 200142,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJAcakSKrfdUgRuR28JMGGq1M,The Hidden Kitchen,"establishment,food,point_of_interest,restaurant",4.4,16,,51.28169,-0.3683615,"The Anchor, 161 Lower Rd, Great Bookham, Leatherhead",OPERATIONAL,,https://www.the-hidden-kitchen.co.uk/,+44 1372 452429,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJ3aoaoxvhdUgRibcAJhpsu58,Rawcous Kitchen,"establishment,food,point_of_interest,restaurant",5,66,,51.2785563,-0.3732678,"The Old Granary, 23 High St, Great Bookham, Leatherhead",CLOSED_TEMPORARILY,,,,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJAxCHBTPfdUgRURG3KrMx5Ng,Courtyard Restaurant,"establishment,food,point_of_interest,restaurant",5,3,,51.2748927,-0.3862079,"Rectory Ln, Little Bookham, Great Bookham, Leatherhead",OPERATIONAL,,,,unknown,,en,1.0,3,"{""en"": 3}",cafe,extended_keywords,,,
ChIJf7GPivbhdUgRbi5X7cg-vkg,Chicken Cottage Bookham Hylands,"establishment,food,point_of_interest,restaurant",2.7,7,1,51.2775647,-0.3659722,"Hylands Service station, Leatherhead Rd, Great Bookham, Leatherhead",OPERATIONAL,"Counter-serve chain for fried or grilled chicken & chips, burgers & wings in a no-nonsense setting.",https://chickencottage.com/chicken-cottage-bookham-hylands/,,unknown,,en,0.8,5,"{""en"": 4, ""und"": 1}",caribbean,extended_text,,,
ChIJu7_FeqTgdUgRgsMQshLxdY8,Michael's,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.2,274,2,51.2777318,-0.3654952,"5, New Parade, Leatherhead Rd, Great Bookham, Leatherhead",OPERATIONAL,Chain retailer carrying art & hobby supplies plus home decor (most offer classes & custom framing).,,+44 1372 454265,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJR8SJeo7gdUgR4q4IUCPfh0A,"Surrey Spice,Finest Indian Takeaway, Fetcham","establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.6,82,,51.29609139999999,-0.3568837,"87 The St, Fetcham, Leatherhead",OPERATIONAL,,https://surreyspicefetcham.co.uk/,+44 1372 361787,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJ_bgO35PgdUgR3QVkvi-fwnc,The Bell,"bar,establishment,food,point_of_interest,restaurant",4.4,864,2,51.291057,-0.354917,"Bell Lane, Fetcham, Leatherhead",OPERATIONAL,"Hip, contemporary gastropub serving high-end British fare and pub grub, real ales and a kids' menu.",https://www.bellfetcham.com/,+44 1372 372624,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJMYLkfI7gdUgRFesJVMX5PPo,Trattoria Da Carlo,"establishment,food,point_of_interest,restaurant",4.5,69,,51.296501,-0.356931,"103 The St, Fetcham, Leatherhead",OPERATIONAL,Pizza-free Italian restaurant with classic options served à la carte or as a fixed-price menu.,http://www.trattoriadacarlo.co.uk/,+44 1372 372118,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ_xrig47gdUgR5ZtQklsrZM4,Fetcham Tandoori,"establishment,food,point_of_interest,restaurant",4.2,198,3,51.2970233,-0.3565535,"248 Cobham Rd, Fetcham, Leatherhead",OPERATIONAL,"Established restaurant with stripped wooden floors, serving traditional Indian cuisine.",https://fetchamtandoori.co.uk/,+44 1372 374927,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJN-J9cI7gdUgRFrigIx-hiy0,Wings Garden,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",3,52,,51.296003,-0.3568816,"83 The St, Fetcham, Leatherhead",OPERATIONAL,,,+44 1372 379307,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJ0UMEAv7hdUgRZydpK35X7gc,Fetcham Fish Bar,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.3,18,,51.29609,-0.3569617,"85 The St, Fetcham, Leatherhead",OPERATIONAL,,http://fetchamfishbar.com/,+44 1372 374321,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJQa980Y3gdUgRFimwxg69RJY,GreenWise,"cafe,establishment,food,health,point_of_interest,restaurant,store",4.6,150,2,51.29634069999999,-0.3557944,"236-240 Cobham Rd, Fetcham, Leatherhead",OPERATIONAL,,http://www.greenwiseshop.com/,+44 1372 200914,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJXWVysvzgdUgRi0SxevVm_IU,Running Horse,"bar,establishment,food,point_of_interest,restaurant",4.3,618,2,51.2944364,-0.3321231,"38 Bridge St, Leatherhead",OPERATIONAL,"600-year-old inn with real fires, pewter tankards hanging from oak beams and hand-pulled ales.",https://www.running-horse.co.uk/,+44 1372 372081,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJgTmlNv3gdUgRt4bZ8DUIVSI,Prezzo Italian Restaurant Leatherhead,"establishment,food,point_of_interest,restaurant",4.1,541,2,51.2944888,-0.3286233,"Manor House, 21-25 Church St, Leatherhead",OPERATIONAL,"Casual Italian chain restaurant for stone-baked pizzas and classic pastas, plus separate kids' menu.",https://www.prezzo.co.uk/restaurants/leatherhead/,+44 1372 231725,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJnezn9C8y30cR-bcnZTeMMjM,Tops Pizza Leatherhead,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.2,182,1,51.2954273,-0.3267533,"46a High St, Leatherhead",OPERATIONAL,,https://topspizza.co.uk/leatherhead,+44 1372 363699,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJg4mWNvzgdUgRhfyocLPfwC8,M&S Simply Food,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",3.4,8,2,51.2980883,-0.3305312,"20 Kingston Rd, Leatherhead",OPERATIONAL,,https://www.marksandspencer.com/stores/leatherhead-bp-5273?extid=local,+44 333 014 8555,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJcz21cuXgdUgRNa6l0i8bma4,Domino's Pizza - Leatherhead,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",3.7,180,2,51.2920874,-0.3371658,"2 Sunmead Cl, Fetcham, Leatherhead",OPERATIONAL,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.co.uk/pizza-near-me/leatherhead/2-sunmead-parade?utm_source=gmb&utm_medium=yext&y_source=1_MTIxMzc1MzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+44 1372 379000,unknown,,en,1.0,5,"{""en"": 5}",italian,brand,dominos,pizza,name
ChIJQUXWxPzgdUgR2sG0dKgTMAM,Five Rivers Indian Restaurant Leatherhead,"establishment,food,point_of_interest,restaurant",4.1,282,2,51.2950752,-0.3307601,"12-14 Bridge St, Leatherhead",OPERATIONAL,Unpretentious contemporary curry house and takeaway serving classic Punjabi and Bangladeshi dishes.,http://www.the-five-rivers.co.uk/,+44 1372 362288,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJcz21cuXgdUgROfpWnFBuIoA,Zen Garden Chinese Restaurant,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.2,257,2,51.29174,-0.3376207000000001,"1 Guildford Rd, Fetcham, Leatherhead",OPERATIONAL,"Chinese dishes, dim sum and an 'everlasting' Sunday buffet, plus takeaway and delivery services",http://www.zengardenrestaurant.net/,+44 1372 362757,unknown,,en,1.0,5,"{""en"": 5}",chinese,extended_text,,,
ChIJ84hGoALhdUgR0v_OAbQsVo0,Thai Pinto Restaurant & Bar,"bar,establishment,food,point_of_interest,restaurant",4.3,191,2,51.295396,-0.3268405,"Gothic Cottage, 36-38 High St, Leatherhead",OPERATIONAL,,http://www.thaipinto.co.uk/,+44 1372 388304,unknown,,en,1.0,5,"{""en"": 5}",thai,extended_text,,,
ChIJj-bl3_zgdUgRrrLqmR1Ytp4,Penny Black,"bar,establishment,food,point_of_interest,restaurant",4.3,829,2,51.2955137,-0.3301219,"5 North St, Leatherhead",OPERATIONAL,Pub in former Post Office with leather sofas and outdoor seating plus sharing platters and burgers.,https://www.pennyblackleatherhead.co.uk/,+44 1372 386719,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
