place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,cuisine_detected_ext,cuisine_source_ext,brand_name,brand_category,brand_source
ChIJn4wuZ_3gdUgRTAuIa1kfMMA,Piazza Firenze - Leatherhead,"establishment,food,point_of_interest,restaurant",4.5,387,2,51.2955181,-0.3275021,"45-47 High St, Leatherhead",OPERATIONAL,"Family-run restaurant with simple, contemporary decor, for Italian classics such as pizza and pasta.",http://www.piazza-firenze.com/,+44 1372 378852,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJEagu4fzgdUgRh77MoHHscso,Leatherhead Grill,"establishment,food,meal_takeaway,point_of_interest,restaurant",4,104,2,51.2956336,-0.3302905,"7 North St, Leatherhead",OPERATIONAL,,https://alleatapp.com/menu-leatherhead-grill-kebab-shop,+44 1372 360500,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJ5890M_3gdUgRBGkCUJVsfKg,Blue Cafe,"cafe,establishment,food,point_of_interest,restaurant,store",4.3,263,1,51.2942407,-0.328928,"Cycle Works, 52-56 Church St, Leatherhead",OPERATIONAL,,https://ymaps.top/blue-cafe,+44 7846 108540,unknown,,en,1.0,5,"{""en"": 5}",polish,extended_text,,,
ChIJscyd2fzgdUgRYmlJqJCUDPg,Botan Kebabs,"establishment,food,point_of_interest,restaurant",4.4,359,2,51.2949375,-0.3302218,"13 Bridge St, Leatherhead",OPERATIONAL,,https://botankebabsurrey.co.uk/,+44 1372 379452,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJ5QvnZnThdUgRiU8K9joZHTU,Skoops (Leatherhead),"establishment,food,point_of_interest,restaurant,store",3.6,194,,51.2944496,-0.3286402,"Manor House, 27 Church St, Leatherhead",CLOSED_TEMPORARILY,,https://www.skoops.co.uk/leatherhead/?mtm_campaign=Business%20Profiles&mtm_kwd=Google%20Business,+44 1372 372722,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJb-pDTADhdUgRA6-ymu2B1-Y,McDonald’s Leatherhead,"establishment,food,point_of_interest,restaurant",2.7,211,,51.294742,-0.3287848,"9, Manor House, 17 Church St, Leatherhead",OPERATIONAL,"Classic, long-running fast-food chain known for its burgers & fries.",https://www.mcdonalds.com/gb/en-gb/location/leatherhead/leatherhead---church-street/9-17-church-street/8262194.html,+44 1372 851022,unknown,,en,1.0,5,"{""en"": 5}",american,brand,mcdonalds,burger,name
ChIJn11i6c_hdUgRVv2sUqQiFCc,Saffron Bloom,"establishment,food,point_of_interest,restaurant",4.9,65,,51.2953269,-0.3295109,"1 High St, Leatherhead",OPERATIONAL,,https://www.saffronbloom.co.uk/,+44 1372 810068,unknown,,en,1.0,5,"{""en"": 5}",middle_eastern,extended_text,,,
ChIJwVzq273hdUgRXSNb8ocaPkI,Royal Fried Chicken and Pizza Leatherhead,"establishment,food,point_of_interest,restaurant",4.3,6,,51.2955114,-0.3298396,"12 North St, Leatherhead",OPERATIONAL,,,+44 1372 811101,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJUT-BWVrhdUgRnHkwr_CMMx8,Subway,"establishment,food,point_of_interest,restaurant",4.4,143,1,51.2952906,-0.3285156,"14 High St, Leatherhead",OPERATIONAL,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",http://restaurants.subway.com/,+44 1372 811198,unknown,,en,1.0,5,"{""en"": 5}",american,brand,subway,sandwich,name
ChIJ6zhX2EjhdUgRz7SCgmDEqxg,Han Kitchen Restaurant,"establishment,food,point_of_interest,restaurant",4.9,181,,51.29540189999999,-0.3281756,"31 High St, Leatherhead",OPERATIONAL,,https://hankitchen.co.uk/,+44 1372 650055,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJzzZZ8pPhdUgRTssQkZBXns8,Kawamura Leatherhead,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.9,118,,51.29541649999999,-0.3279319,"37 High St, Leatherhead",OPERATIONAL,,,+44 1372 878682,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJZdaMAOvhdUgRZJupMRFjxrM,Karahi House,"establishment,food,meal_takeaway,point_of_interest,restaurant",3.8,32,,51.29510639999999,-0.3261971,"26 The Crescent, Leatherhead",OPERATIONAL,,https://karahihouse.co.uk/,+44 1372 373787,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJ4Yi1xBrhdUgR-DEucOBeFT8,"Ruchi Fine Indian Cuisine, Leatherhead","establishment,food,meal_takeaway,point_of_interest,restaurant",3.7,75,2,51.29510639999999,-0.3261971,"26 The Crescent, Leatherhead",OPERATIONAL,,https://ruchileatherhead.co.uk/,+44 1372 377000,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJn4wuZ_3gdUgRFGT3JFjrcKE,Sunshine Cafe Leatherhead,"cafe,establishment,food,point_of_interest,restaurant",4.6,269,1,51.29556669999999,-0.327196,"55 High St, Leatherhead",OPERATIONAL,,https://m.facebook.com/Sunshine-Cafe-Leatherhead-1628151110803156/?locale2=en_GB#!/Sunshine-Cafe-Leatherhead-1628151110803156/?locale2=en_GB,+44 1372 377714,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJFQK3vALhdUgRoNckTGfgKi4,JP & Chef,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.1,122,,51.295196,-0.326172,"28 The Crescent, Leatherhead",OPERATIONAL,,,+44 1372 378780,unknown,,en,1.0,5,"{""en"": 5}",chinese,extended_text,,,
ChIJgettoDvhdUgR9cFOG7wUR6w,The Garden House,"establishment,food,point_of_interest,restaurant",4.6,192,,51.2778888,-0.3064308,"Beaverbrook, Reigate Rd, Leatherhead",OPERATIONAL,,https://www.beaverbrook.co.uk/eat-drink/the-garden-house-restaurant/,+44 1372 571300,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJ0_v_DDvhdUgRxzrIBql2T7c,Beaverbrook,"bar,establishment,food,lodging,point_of_interest,restaurant,spa",4.6,598,,51.277009,-0.3122132,"Reigate Rd, Leatherhead",OPERATIONAL,"Elegant hotel on a 162-hectare estate offering country-chic quarters, a restaurant & gardens.",https://www.beaverbrook.co.uk/,+44 1372 571300,unknown,,en,1.0,5,"{""en"": 5}",japanese,extended_text,,,
ChIJ32Lo4HLhdUgRsN6xbTifujQ,The Pizzeria at the Deli,"establishment,food,point_of_interest,restaurant",5,1,,51.2776375,-0.3130922,"Beaverbrook, Reigate Rd, Leatherhead",OPERATIONAL,,,,unknown,,en,1.0,1,"{""en"": 1}",unknown,,,,
ChIJCbbvoDvhdUgRTs015zTFKLw,The Dining Room - Japanese Grill,"establishment,food,point_of_interest,restaurant",4.7,95,,51.277067,-0.3123913,"Beaverbrook, Reigate Rd, Leatherhead",OPERATIONAL,,https://www.beaverbrook.co.uk/eat-drink/the-dining-room/,+44 1372 571300,unknown,,en,1.0,5,"{""en"": 5}",japanese,extended_text,,,
ChIJtQ5uPgDhdUgRQUBXL6PqM2c,Mrs Beeton’s Restaurant,"establishment,food,point_of_interest,restaurant",4.8,4,,51.273321,-0.3146389,"3A Mickleham Dr, Mickleham, Dorking",OPERATIONAL,,,,unknown,,en,0.5,4,"{""en"": 2, ""und"": 2}",british,extended_text,,,
ChIJnRPSBeTjdUgR7i-s8OSo8yk,The Cock Inn,"bar,establishment,food,point_of_interest,restaurant",4.2,1035,2,51.2797427,-0.2744744,"Church Ln, Headley, Epsom",OPERATIONAL,Bright contemporary pub retaining its traditional charm and serving a British food menu.,http://www.cockinnheadley.co.uk/,+44 1372 851007,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJm5sKk5jjdUgRHGaY4Vi9kJU,The Blue Ball,"bar,establishment,food,point_of_interest,restaurant",4.1,699,2,51.2834991,-0.2410793,"Deans Ln, Walton on the Hill, Tadworth",OPERATIONAL,,https://theblueballtadworth.co.uk/,+44 1737 819003,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJW7TXfpjjdUgRmPjbwnR3HdU,Spaghetti Tree,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.3,615,2,51.283961,-0.241878,"1 Walton St, Walton on the Hill, Tadworth",OPERATIONAL,"Lively family-run restaurant with pond and heath views, contemporary decor and an Italian menu.",http://www.spaghettitree.co.uk/,+44 1737 819919,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ2_pi9JbjdUgRVrLZE7ip84I,The Chequers,"bar,establishment,food,point_of_interest,restaurant",4.4,940,2,51.2809701,-0.2491206,"Chequers Ln, Walton on the Hill, Tadworth",OPERATIONAL,"Unfussy British food and pub grub classics in a village inn with smart modern looks, plus real ale.",https://www.chequerspub.co.uk/,+44 1737 812364,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJb1jYOJbjdUgR7prw2TrxDPk,The Dog House,"bar,establishment,food,point_of_interest,restaurant",4.5,273,2,51.283123,-0.2460844,"72 Walton St, Walton on the Hill, Tadworth",OPERATIONAL,,http://www.foxandhounds.net/,+44 1737 817744,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJeZdUCQrjdUgRWlb9jlPtBDY,Tiger Lily,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.3,174,2,51.2882894,-0.2328212,"17 High St, Tadworth",OPERATIONAL,"Classic and homestyle Chinese fare is served in this bijou, white and lavender decorated restaurant.",https://alleatapp.com/menu-tigerlily-chinese-kt20,+44 1737 812319,unknown,,en,1.0,5,"{""en"": 5}",chinese,extended_text,,,
ChIJkfLbDZjjdUgRfXsu-h7XGRc,Walton Spice,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.4,115,,51.28330279999999,-0.2437333,"22 Walton St, Walton on the Hill, Tadworth",OPERATIONAL,,http://www.waltonspice.co.uk/,+44 1737 814206,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJTZ6qVm_jdUgRk1o3EM_kUnI,Walton Chinese Takeaway,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.6,62,,51.283031,-0.244734,"39 Walton St, Walton on the Hill, Tadworth",OPERATIONAL,,http://www.waltonchinese.co.uk/,+44 1737 423541,unknown,,en,1.0,5,"{""en"": 5}",chinese,extended_text,,,
ChIJNWpp5D3jdUgRFiuDoyeoBlU,Pizza Project Walton,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.7,56,,51.283406,-0.243525,"16 Walton St, Walton on the Hill, Tadworth",OPERATIONAL,,https://www.thepizzaproject.co.uk/pizza-project-walton,+44 1737 949166,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJraXnzHbjdUgRmTo0-mnx4qM,KT20 Bakehouse,"bakery,cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",4.8,38,,51.2880421,-0.2315376,"9 High St, Tadworth",OPERATIONAL,,https://www.kt20bakehouse.com/kt20,+44 1737 813511,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJ7cEy4JvjdUgRmVKHu-_sDWk,Blue Anchor Tadworth,"bar,establishment,food,point_of_interest,restaurant",4.5,1354,2,51.2865462,-0.2285389,"Dorking Rd, Tadworth",OPERATIONAL,Stylish leather seating and fish portraits in an airy country gastropub specialising in fish dishes.,https://www.theblueanchortadworth.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,+44 1737 819760,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJqYjNoQ7jdUgR5s8EnvJ6MR0,Inn on the Green,"bar,establishment,food,point_of_interest,restaurant",4.6,1000,2,51.29093599999999,-0.226067,"Dorking Rd, Tadworth",OPERATIONAL,"Elevated pub fare & draft beers offered in a warm, charming environment with terrace seating.",http://www.thegrumpymole.co.uk/tadworth/,+44 1737 353529,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJhbS7QEjjdUgRRQrZK8jgAJ0,Well House Inn,"bar,establishment,food,point_of_interest,restaurant",4.6,840,2,51.28259449999999,-0.1970464,"Chipstead Ln, Coulsdon",OPERATIONAL,"Wholesome dishes, Sunday roasts and cask ales served in a 1500s country pub with fireplaces.",https://thewellhouseinn.co.uk/,+44 1737 830640,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJ099DUOz8dUgR70wMMytHL2s,Starbucks Coffee,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",4.2,1664,2,51.28724,-0.15499,"119 London Rd N, Merstham, Redhill",OPERATIONAL,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://www.starbucks.co.uk/store-locator/12901,+44 1737 550382,unknown,,en,1.0,5,"{""en"": 5}",cafe,brand,starbucks,coffee,name
ChIJmUQg557-dUgR9cl7u9ZSsj4,Raja Tandoori,"establishment,food,point_of_interest,restaurant",4.7,192,2,51.28711750000001,-0.0889866,"4 High St, Caterham",OPERATIONAL,,,+44 1883 348099,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJqUL91pf-dUgRPzlatv4RvI8,Papa Johns Pizza,"establishment,food,point_of_interest,restaurant",3.3,100,2,51.2834262,-0.0785685,"61a Croydon Rd, Caterham",OPERATIONAL,"Pizza take-out & delivery chain offering classic & specialty pizzas, plus wings, sides & desserts.",https://www.papajohns.co.uk/stores/caterham?utm_source=yext-google-my-business&utm_medium=organic&utm_campaign=local-listing,+44 1883 348877,unknown,,en,1.0,5,"{""en"": 5}",italian,brand,papa johns,pizza,name
ChIJTTfXzZf-dUgR2FGbPIUnSgs,Mazzy's Grill,"establishment,food,liquor_store,meal_takeaway,point_of_interest,restaurant,store",4.2,95,1,51.2848848,-0.0788783,"82 Croydon Rd, Caterham",OPERATIONAL,,http://www.mazzysgrill.co.uk/,+44 1883 341111,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJT-yQgb3-dUgRcM93bIKnJsY,Balti Express Bangladeshi & Indian Takeaway,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.4,50,,51.2838216,-0.0784353,"50 Croydon Rd, Caterham",OPERATIONAL,,https://baltiexpresscr3.co.uk/,+44 1883 331161,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJk_7Amb3-dUgRLBEqLDI7Ezo,Buzz Kebab - The Best Quality Food,"establishment,food,point_of_interest,restaurant",4.2,86,1,51.2835844,-0.078231,"40 Croydon Rd, Caterham",OPERATIONAL,,http://www.buzzkebabonline.co.uk/,+44 1883 337012,unknown,,en,1.0,5,"{""en"": 5}",turkish,extended_text,,,
ChIJh0lmu73-dUgRpJJF4LjCM6w,Favorite Chicken & Ribs Caterham,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.7,519,1,51.2824938,-0.0776777,"11 Croydon Rd, Caterham",OPERATIONAL,,https://favorite.co.uk/store-finder/favorite-chicken-ribs-caterham.html/?utm_source=gmb&utm_medium=yext&y_source=1_NTEyMzcxMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+44 1883 345232,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJ_yZQtJf-dUgR-2XPhO0z4tU,Domino's Pizza - Caterham,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4,161,2,51.28431699999999,-0.0788146,"66- 68 Croydon Rd, Caterham",OPERATIONAL,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,https://www.dominos.co.uk/pizza-near-me/caterham/66-68-croydon-road?utm_source=gmb&utm_medium=yext&y_source=1_MTIxMzc2MjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+44 1883 342888,unknown,,en,1.0,5,"{""en"": 5}",italian,brand,dominos,pizza,name
ChIJvczKluj_dUgRUqvyP4QbwMU,Alcohol Pm To Am,"establishment,food,meal_takeaway,point_of_interest,restaurant",,,,51.28702209999999,-0.0890021,"Surrey, 6 High St, Caterham",OPERATIONAL,,https://alcoholpmtoam.co.uk/order-now,+44 1883 344088,unknown,,,0.0,0,{},unknown,,,,
ChIJkRL1Otf_dUgRneZLIB8hUIM,Namaste London - Indian Restaurant Caterham,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.9,295,,51.2866915,-0.0888317,"16 High St, Caterham",OPERATIONAL,,https://namasteindiancaterham.co.uk/,+44 1883 339692,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJs4MmIJ_-dUgR7AYgZeSzoDA,Caterham Chippy (Formerly Caterham Fish Bar ).,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.2,136,,51.2865994,-0.0887917,"20 High St, Caterham",OPERATIONAL,,,+44 1883 342345,unknown,,en,1.0,5,"{""en"": 5}",british,extended_text,,,
ChIJqUL91pf-dUgR3mkRY_Z6_so,La Fiaba Del Mediterraneo,"bar,establishment,food,point_of_interest,restaurant",4.6,297,2,51.28642310000001,-0.0887881,"Scm Contractors Ltd, 22A High St, Caterham",OPERATIONAL,,http://lafiaba.co.uk/,+44 1883 337719,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJxRRuRp_-dUgRX8ghelKvA48,"The Royal Oak, Caterham","bar,cafe,establishment,food,point_of_interest,restaurant",4.3,68,,51.2850897,-0.088243,"The Royal Oak, 68 High St, Caterham",OPERATIONAL,,,+44 20 4568 0811,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJESGKSJ_-dUgR-U53ja6Fs2M,Caterham Charcoal Grill,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",4.6,246,1,51.2852064,-0.08795879999999999,"75 High St, Caterham",OPERATIONAL,,https://www.caterhamcharcoalgrill.co.uk/,+44 1883 343810,unknown,,en,1.0,5,"{""en"": 5}",unknown,,,,
ChIJq8TWmr3-dUgRfC4uAg0wrqI,Bua Thai Caterham Restaurant,"establishment,food,point_of_interest,restaurant",4.5,235,2,51.2838625,-0.0784406,"Surrey, 52 Croydon Rd, Caterham",OPERATIONAL,,https://buathaicaterham.com/,+44 1883 345903,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJUxqJ073-dUgR8-TEfL0GQMc,The Kerala,"establishment,food,point_of_interest,restaurant",4.3,263,2,51.2835072,-0.0785453,"63 Croydon Rd, Caterham",OPERATIONAL,,http://www.thekerala.co.uk/,+44 1883 343803,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJ1dJgg73-dUgRmgEb_01vIFA,Pop Inn Cafe,"cafe,establishment,food,point_of_interest,restaurant",4.6,244,1,51.28348399999999,-0.078138,"36 Croydon Rd, Caterham",OPERATIONAL,,http://www.popinncafe.co.uk/,+44 1883 330067,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJMx1ZxEr_dUgRP9GzpYEinMw,Subway,"establishment,food,meal_takeaway,point_of_interest,restaurant",3,36,1,51.2831517,-0.0782277,"49 Croydon Rd, Caterham",OPERATIONAL,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",https://restaurants.subway.com/united-kingdom/en/caterham/49-croydon-road?y_source=1_MjA3MTc1ODAtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,+44 1883 818558,unknown,,en,1.0,5,"{""en"": 5}",american,brand,subway,sandwich,name
ChIJ-WjGmr3-dUgRGJZdg1P84-M,Pizza Express,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.3,484,2,51.2827795,-0.0774301,"10 Croydon Rd, Caterham",OPERATIONAL,Chain pizzeria where chefs in striped t-shirts toss handmade pizzas in a relaxed space.,https://www.pizzaexpress.com/caterham?utm_source=GMB&utm_medium=Website&utm_campaign=GMB-WEB-2021-caterham,+44 1883 342717,unknown,,en,1.0,5,"{""en"": 5}",italian,brand,pizzaexpress,pizza,website
